date,weekend,value,quarter,month,day
2016-01-06,0,29.691,1,1,6
2016-01-07,0,43.177,1,1,7
2016-01-08,0,50.057,1,1,8
2016-01-09,1,47.363,1,1,9
2016-01-10,1,42.203,1,1,10
2016-01-11,0,21.535,1,1,11
2016-01-12,0,12.981,1,1,12
2016-02-06,1,28.789,1,2,6
2016-02-07,1,59.410000000000004,1,2,7
2016-02-08,0,47.57,1,2,8
2016-02-09,0,24.096999999999998,1,2,9
2016-02-10,0,23.944,1,2,10
2016-02-11,0,27.476,1,2,11
2016-02-12,0,11.610999999999999,1,2,12
2016-03-06,1,19.247,1,3,6
2016-03-07,0,63.001000000000005,1,3,7
2016-03-08,0,49.566,1,3,8
2016-03-09,0,5.885999999999999,1,3,9
2016-03-10,0,30.736,1,3,10
2016-03-11,0,32.599000000000004,1,3,11
2016-03-12,1,13.281,1,3,12
2016-04-06,0,22.883000000000003,2,4,6
2016-04-07,0,58.908,2,4,7
2016-04-08,0,49.523,2,4,8
2016-04-09,1,5.984999999999999,2,4,9
2016-04-10,1,31.634999999999998,2,4,10
2016-04-11,0,31.685,2,4,11
2016-04-12,0,20.073,2,4,12
2016-05-06,0,25.195,2,5,6
2016-05-07,1,45.24,2,5,7
2016-05-08,1,48.771,2,5,8
2016-05-09,0,43.516,2,5,9
2016-05-10,0,35.233000000000004,2,5,10
2016-05-11,0,30.718,2,5,11
2016-05-12,0,14.58,2,5,12
2016-06-06,0,29.323,2,6,6
2016-06-07,0,43.361,2,6,7
2016-06-08,0,55.993,2,6,8
2016-06-09,0,39.04,2,6,9
2016-06-10,0,33.993,2,6,10
2016-06-11,1,19.498,2,6,11
2016-06-12,1,10.247,2,6,12
2016-06-13,0,36.865,2,6,13
2016-06-14,0,46.684000000000005,2,6,14
2016-06-15,0,41.78,2,6,15
2016-06-16,0,43.292,2,6,16
2016-06-17,0,41.361000000000004,2,6,17
2016-06-18,1,46.410000000000004,2,6,18
2016-06-19,1,47.559,2,6,19
2016-06-20,0,38.9,2,6,20
2016-06-21,0,34.485,2,6,21
2016-06-22,0,42.401,2,6,22
2016-06-23,0,40.403999999999996,2,6,23
2016-06-24,0,36.68,2,6,24
2016-06-25,1,42.348,2,6,25
2016-06-26,1,42.576,2,6,26
2016-06-27,0,42.929,2,6,27
2016-06-28,0,36.660000000000004,2,6,28
2016-06-29,0,35.047,2,6,29
2016-06-30,0,37.932,2,6,30
2016-07-06,0,30.322,3,7,6
2016-07-07,0,41.832,3,7,7
2016-07-08,0,61.38,3,7,8
2016-07-09,1,37.735,3,7,9
2016-07-10,1,37.532,3,7,10
2016-07-11,0,22.743,3,7,11
2016-07-12,0,10.407,3,7,12
2016-07-13,0,47.16,3,7,13
2016-07-14,0,48.224000000000004,3,7,14
2016-07-15,0,16.695999999999998,3,7,15
2016-07-16,0,16.299,3,7,16
2016-07-17,0,14.246,3,7,17
2016-07-18,0,13.84,3,7,18
2016-07-19,0,12.328999999999999,3,7,19
2016-07-20,0,15.786,3,7,20
2016-07-21,0,19.101,3,7,21
2016-07-22,0,64.973,3,7,22
2016-07-23,1,62.589,3,7,23
2016-07-24,1,56.825,3,7,24
2016-07-25,0,39.835,3,7,25
2016-07-26,0,33.564,3,7,26
2016-07-27,0,40.543,3,7,27
2016-07-28,0,35.123,3,7,28
2016-07-29,0,50.193,3,7,29
2016-07-30,1,59.391,3,7,30
2016-07-31,1,52.989,3,7,31
2016-08-06,1,40.051,3,8,6
2016-08-07,1,43.316,3,8,7
2016-08-08,0,48.945,3,8,8
2016-08-09,0,40.457,3,8,9
2016-08-10,0,27.436,3,8,10
2016-08-11,0,17.995,3,8,11
2016-08-12,0,9.927,3,8,12
2016-08-13,1,51.981,3,8,13
2016-08-14,1,36.371,3,8,14
2016-08-15,0,34.397,3,8,15
2016-08-16,0,29.62,3,8,16
2016-08-17,0,29.669999999999998,3,8,17
2016-08-18,0,27.957,3,8,18
2016-08-19,0,33.474000000000004,3,8,19
2016-08-20,1,38.245000000000005,3,8,20
2016-08-21,1,40.958,3,8,21
2016-08-22,0,34.785,3,8,22
2016-08-23,0,42.852,3,8,23
2016-08-24,0,50.701,3,8,24
2016-08-25,0,44.537,3,8,25
2016-08-26,0,30.32,3,8,26
2016-08-27,1,34.381,3,8,27
2016-08-28,1,36.876,3,8,28
2016-08-29,0,32.349000000000004,3,8,29
2016-08-30,0,33.066,3,8,30
2016-08-31,0,39.477000000000004,3,8,31
2016-09-06,0,38.667,3,9,6
2016-09-07,0,48.884,3,9,7
2016-09-08,0,54.938,3,9,8
2016-09-09,0,35.772999999999996,3,9,9
2016-09-10,1,23.768,3,9,10
2016-09-11,1,14.895999999999999,3,9,11
2016-09-12,0,12.065999999999999,3,9,12
2016-09-13,0,33.725,3,9,13
2016-09-14,0,40.039,3,9,14
2016-09-15,0,78.2253,3,9,15
2016-09-16,0,42.756,3,9,16
2016-09-17,1,55.155,3,9,17
2016-09-18,1,57.136,3,9,18
2016-09-19,0,46.735,3,9,19
2016-09-20,0,47.523,3,9,20
2016-09-21,0,37.714,3,9,21
2016-09-22,0,39.036,3,9,22
2016-09-23,0,34.31,3,9,23
2016-09-24,1,41.334,3,9,24
2016-09-25,1,32.793,3,9,25
2016-09-26,0,31.782,3,9,26
2016-09-27,0,28.17,3,9,27
2016-09-28,0,32.141999999999996,3,9,28
2016-09-29,0,27.216,3,9,29
2016-09-30,0,29.563,3,9,30
2016-10-06,0,42.467,4,10,6
2016-10-07,0,44.535,4,10,7
2016-10-08,1,57.28,4,10,8
2016-10-09,1,34.96,4,10,9
2016-10-10,0,20.678,4,10,10
2016-10-11,0,13.386,4,10,11
2016-10-12,0,11.821,4,10,12
2016-10-13,0,36.885,4,10,13
2016-10-14,0,34.797,4,10,14
2016-10-15,1,34.404,4,10,15
2016-10-16,1,35.26,4,10,16
2016-10-17,0,37.709,4,10,17
2016-10-18,0,40.328,4,10,18
2016-10-19,0,34.486,4,10,19
2016-10-20,0,32.367000000000004,4,10,20
2016-10-21,0,16.286,4,10,21
2016-10-22,1,14.584999999999999,4,10,22
2016-10-23,1,17.701,4,10,23
2016-10-24,0,23.153,4,10,24
2016-10-25,0,21.901,4,10,25
2016-10-26,0,28.46,4,10,26
2016-10-27,0,27.974,4,10,27
2016-10-28,0,8.609,4,10,28
2016-10-29,1,14.34,4,10,29
2016-10-30,1,28.881,4,10,30
2016-10-31,0,21.447,4,10,31
2016-11-06,1,54.001,4,11,6
2016-11-07,0,43.727,4,11,7
2016-11-08,0,56.953,4,11,8
2016-11-09,0,45.391,4,11,9
2016-11-10,0,27.457,4,11,10
2016-11-11,0,14.389,4,11,11
2016-11-12,1,10.974,4,11,12
2016-11-13,1,11.448,4,11,13
2016-11-14,0,17.423000000000002,4,11,14
2016-11-15,0,17.152,4,11,15
2016-11-16,0,16.904,4,11,16
2016-11-17,0,26.7993,4,11,17
2016-11-18,0,14.086,4,11,18
2016-11-19,1,9.718,4,11,19
2016-11-20,1,11.783,4,11,20
2016-11-21,0,12.107,4,11,21
2016-11-22,0,15.368,4,11,22
2016-11-23,0,15.897,4,11,23
2016-11-24,0,16.328,4,11,24
2016-11-25,0,13.341,4,11,25
2016-11-26,1,12.177999999999999,4,11,26
2016-11-27,1,16.403,4,11,27
2016-11-28,0,20.337,4,11,28
2016-11-29,0,24.531,4,11,29
2016-11-30,0,14.331,4,11,30
2016-12-06,0,38.414,4,12,6
2016-12-07,0,43.278,4,12,7
2016-12-08,0,57.734,4,12,8
2016-12-09,0,37.162,4,12,9
2016-12-10,1,34.022,4,12,10
2016-12-11,1,14.982,4,12,11
2016-12-12,0,8.007,4,12,12
2016-12-13,0,11.024000000000001,4,12,13
2016-12-14,0,9.839,4,12,14
2016-12-15,0,10.418,4,12,15
2016-12-16,0,11.513,4,12,16
2016-12-17,1,12.054,4,12,17
2016-12-18,1,14.807,4,12,18
2016-12-19,0,14.291,4,12,19
2016-12-20,0,12.721,4,12,20
2016-12-21,0,10.512,4,12,21
2016-12-22,0,12.013,4,12,22
2016-12-23,0,8.368,4,12,23
2016-12-24,1,5.925,4,12,24
2016-12-25,1,5.9479999999999995,4,12,25
2016-12-26,0,5.973,4,12,26
2016-12-27,0,6.148999999999999,4,12,27
2016-12-28,0,5.95,4,12,28
2016-12-29,0,5.909,4,12,29
2016-12-30,0,13.559,4,12,30
2016-12-31,1,15.304,4,12,31
2017-01-01,1,12.2,1,1,1
2017-01-02,0,8.684,1,1,2
2017-01-03,0,15.812,1,1,3
2017-01-04,0,11.379999999999999,1,1,4
2017-01-05,0,16.642,1,1,5
2017-01-06,0,21.759,1,1,6
2017-01-07,1,16.76,1,1,7
2017-01-08,1,15.512,1,1,8
2017-01-09,0,30.778,1,1,9
2017-01-10,0,30.398,1,1,10
2017-01-11,0,11.776,1,1,11
2017-01-12,0,9.139999999999999,1,1,12
2017-01-13,0,14.313,1,1,13
2017-01-14,1,18.906,1,1,14
2017-01-15,1,13.785,1,1,15
2017-01-16,0,11.504999999999999,1,1,16
2017-01-17,0,9.517999999999999,1,1,17
2017-01-18,0,9.318,1,1,18
2017-01-19,0,9.176,1,1,19
2017-01-20,0,9.208,1,1,20
2017-01-21,1,10.378,1,1,21
2017-01-22,1,9.667,1,1,22
2017-01-23,0,9.514,1,1,23
2017-01-24,0,8.512,1,1,24
2017-01-25,0,10.004,1,1,25
2017-01-26,0,9.024,1,1,26
2017-01-27,0,10.821,1,1,27
2017-01-28,1,12.155,1,1,28
2017-01-29,1,11.348,1,1,29
2017-01-30,0,10.379999999999999,1,1,30
2017-01-31,0,8.459999999999999,1,1,31
2017-02-01,0,11.026,1,2,1
2017-02-02,0,9.728,1,2,2
2017-02-03,0,8.705,1,2,3
2017-02-04,1,18.51,1,2,4
2017-02-05,1,41.02,1,2,5
2017-02-06,0,21.904,1,2,6
2017-02-07,0,17.037,1,2,7
2017-02-08,0,9.229,1,2,8
2017-02-09,0,32.324,1,2,9
2017-02-10,0,23.484,1,2,10
2017-02-11,1,15.279,1,2,11
2017-02-12,1,8.949,1,2,12
2017-02-13,0,14.427,1,2,13
2017-02-14,0,9.776,1,2,14
2017-02-15,0,8.585,1,2,15
2017-02-16,0,10.748999999999999,1,2,16
2017-02-17,0,10.86,1,2,17
2017-02-18,1,15.083,1,2,18
2017-02-19,1,17.052,1,2,19
2017-02-20,0,14.156,1,2,20
2017-02-21,0,10.461,1,2,21
2017-02-22,0,8.722999999999999,1,2,22
2017-02-23,0,9.547,1,2,23
2017-02-24,0,11.426,1,2,24
2017-02-25,1,9.965,1,2,25
2017-02-26,1,11.033,1,2,26
2017-02-27,0,9.301,1,2,27
2017-02-28,0,14.887,1,2,28
2017-03-01,0,10.225,1,3,1
2017-03-02,0,8.719,1,3,2
2017-03-03,0,9.764,1,3,3
2017-03-04,1,17.506,1,3,4
2017-03-05,1,40.298,1,3,5
2017-03-06,0,28.902,1,3,6
2017-03-07,0,19.432,1,3,7
2017-03-08,0,11.536999999999999,1,3,8
2017-03-09,0,34.719,1,3,9
2017-03-10,0,22.884999999999998,1,3,10
2017-03-11,1,19.869,1,3,11
2017-03-12,1,9.697,1,3,12
2017-03-13,0,8.897,1,3,13
2017-03-14,0,9.158,1,3,14
2017-03-15,0,8.439,1,3,15
2017-03-16,0,8.366999999999999,1,3,16
2017-03-17,0,8.744,1,3,17
2017-03-18,1,18.514,1,3,18
2017-03-19,1,14.914,1,3,19
2017-03-20,0,21.3,1,3,20
2017-03-21,0,12.741,1,3,21
2017-03-22,0,16.846,1,3,22
2017-03-23,0,14.541,1,3,23
2017-03-24,0,12.472,1,3,24
2017-03-25,1,13.44,1,3,25
2017-03-26,1,16.682,1,3,26
2017-03-27,0,19.489,1,3,27
2017-03-28,0,20.646,1,3,28
2017-03-29,0,20.027,1,3,29
2017-03-30,0,13.423,1,3,30
2017-03-31,0,12.370000000000001,1,3,31
2017-04-01,1,10.312,2,4,1
2017-04-02,1,9.815999999999999,2,4,2
2017-04-03,0,10.638,2,4,3
2017-04-04,0,18.602999999999998,2,4,4
2017-04-05,0,9.709,2,4,5
2017-04-06,0,23.822,2,4,6
2017-04-07,0,27.183999999999997,2,4,7
2017-04-08,1,16.123,2,4,8
2017-04-09,1,31.005,2,4,9
2017-04-10,0,29.84,2,4,10
2017-04-11,0,22.634,2,4,11
2017-04-12,0,9.471,2,4,12
2017-04-13,0,19.142,2,4,13
2017-04-14,0,14.469,2,4,14
2017-04-15,1,16.183,2,4,15
2017-04-16,1,23.713,2,4,16
2017-04-17,0,14.396,2,4,17
2017-04-18,0,14.931000000000001,2,4,18
2017-04-19,0,17.522,2,4,19
2017-04-20,0,22.567,2,4,20
2017-04-21,0,20.833000000000002,2,4,21
2017-04-22,1,23.753,2,4,22
2017-04-23,1,8.829,2,4,23
2017-04-24,0,9.422,2,4,24
2017-04-25,0,16.305,2,4,25
2017-04-26,0,23.155,2,4,26
2017-04-27,0,15.352,2,4,27
2017-04-28,0,27.573,2,4,28
2017-04-29,1,43.181,2,4,29
2017-04-30,1,12.64,2,4,30
2017-05-01,0,10.28,2,5,1
2017-05-02,0,13.482,2,5,2
2017-05-03,0,10.275,2,5,3
2017-05-04,0,12.53,2,5,4
2017-05-05,0,21.608,2,5,5
2017-05-06,1,17.891,2,5,6
2017-05-07,1,38.479,2,5,7
2017-05-08,0,12.012,2,5,8
2017-05-09,0,25.649,2,5,9
2017-05-10,0,26.871,2,5,10
2017-05-11,0,26.353,2,5,11
2017-05-12,0,10.17,2,5,12
2017-05-13,1,32.658,2,5,13
2017-05-14,1,25.182,2,5,14
2017-05-15,0,21.347,2,5,15
2017-05-16,0,23.285,2,5,16
2017-05-17,0,20.39,2,5,17
2017-05-18,0,26.111,2,5,18
2017-05-19,0,28.193,2,5,19
2017-05-20,1,44.704,2,5,20
2017-05-21,1,26.627000000000002,2,5,21
2017-05-22,0,15.241999999999999,2,5,22
2017-05-23,0,14.513,2,5,23
2017-05-24,0,12.427,2,5,24
2017-05-25,0,18.384,2,5,25
2017-05-26,0,22.209,2,5,26
2017-05-27,1,30.0,2,5,27
2017-05-28,1,26.194,2,5,28
2017-05-29,0,17.7,2,5,29
2017-05-30,0,20.505,2,5,30
2017-05-31,0,24.073,2,5,31
2017-06-01,0,13.764,2,6,1
2017-06-02,0,10.081999999999999,2,6,2
2017-06-03,1,10.852,2,6,3
2017-06-04,1,7.9559999999999995,2,6,4
2017-06-05,0,23.462,2,6,5
2017-06-06,0,25.927,2,6,6
2017-06-07,0,37.504,2,6,7
2017-06-08,0,12.585,2,6,8
2017-06-09,0,24.27,2,6,9
2017-06-10,1,22.755,2,6,10
2017-06-11,1,19.809,2,6,11
2017-06-12,0,10.305,2,6,12
2017-06-13,0,26.265,2,6,13
2017-06-14,0,29.41,2,6,14
2017-06-15,0,38.956,2,6,15
2017-06-16,0,26.43,2,6,16
2017-06-17,1,26.021,2,6,17
2017-06-18,1,31.108,2,6,18
2017-06-19,0,31.634,2,6,19
2017-06-20,0,30.729,2,6,20
2017-06-21,0,23.262999999999998,2,6,21
2017-06-22,0,21.247,2,6,22
2017-06-23,0,30.763,2,6,23
2017-06-24,1,17.706,2,6,24
2017-06-25,1,22.042,2,6,25
2017-06-26,0,21.789,2,6,26
2017-06-27,0,18.463,2,6,27
2017-06-28,0,26.172,2,6,28
2017-06-29,0,14.585,2,6,29
2017-06-30,0,15.902,2,6,30
2017-07-01,1,18.608,3,7,1
2017-07-02,1,11.572,3,7,2
2017-07-03,0,10.888,3,7,3
2017-07-04,0,10.487,3,7,4
2017-07-05,0,18.389,3,7,5
2017-07-06,0,29.238,3,7,6
2017-07-07,0,31.879,3,7,7
2017-07-08,1,9.076,3,7,8
2017-07-09,1,18.501,3,7,9
2017-07-10,0,24.51,3,7,10
2017-07-11,0,17.899,3,7,11
2017-07-12,0,14.476,3,7,12
2017-07-13,0,33.696,3,7,13
2017-07-14,0,32.13,3,7,14
2017-07-15,1,24.697,3,7,15
2017-07-16,1,32.693,3,7,16
2017-07-17,0,26.897,3,7,17
2017-07-18,0,30.087,3,7,18
2017-07-19,0,35.26,3,7,19
2017-07-20,0,36.923,3,7,20
2017-07-21,0,23.649,3,7,21
2017-07-22,1,15.838,3,7,22
2017-07-23,1,16.967,3,7,23
2017-07-24,0,16.727,3,7,24
2017-07-25,0,15.949,3,7,25
2017-07-26,0,17.133,3,7,26
2017-07-27,0,19.411,3,7,27
2017-07-28,0,22.399,3,7,28
2017-07-29,1,22.195,3,7,29
2017-07-30,1,19.675,3,7,30
2017-07-31,0,16.53,3,7,31
2017-08-01,0,15.666,3,8,1
2017-08-02,0,15.685,3,8,2
2017-08-03,0,8.433,3,8,3
2017-08-04,0,10.773,3,8,4
2017-08-05,1,18.188,3,8,5
2017-08-06,1,26.397,3,8,6
2017-08-07,0,40.564,3,8,7
2017-08-08,0,9.229,3,8,8
2017-08-09,0,19.341,3,8,9
2017-08-10,0,44.179,3,8,10
2017-08-11,0,10.656,3,8,11
2017-08-12,1,13.934,3,8,12
2017-08-13,1,31.378,3,8,13
2017-08-14,0,34.663000000000004,3,8,14
2017-08-15,0,32.002,3,8,15
2017-08-16,0,34.792,3,8,16
2017-08-17,0,35.281,3,8,17
2017-08-18,0,37.583,3,8,18
2017-08-19,1,47.013,3,8,19
2017-08-20,1,46.196,3,8,20
2017-08-21,0,36.616,3,8,21
2017-08-22,0,36.494,3,8,22
2017-08-23,0,31.535,3,8,23
2017-08-24,0,31.359,3,8,24
2017-08-25,0,28.596,3,8,25
2017-08-26,1,18.811,3,8,26
2017-08-27,1,20.477,3,8,27
2017-08-28,0,19.506999999999998,3,8,28
2017-08-29,0,23.116,3,8,29
2017-08-30,0,25.931,3,8,30
2017-08-31,0,27.518,3,8,31
2017-09-01,0,9.881,3,9,1
2017-09-02,1,9.125,3,9,2
2017-09-03,1,11.354,3,9,3
2017-09-04,0,19.294,3,9,4
2017-09-05,0,15.209,3,9,5
2017-09-06,0,23.069,3,9,6
2017-09-07,0,48.721,3,9,7
2017-09-08,0,14.36,3,9,8
2017-09-09,1,22.967,3,9,9
2017-09-10,1,28.158,3,9,10
2017-09-11,0,10.137,3,9,11
2017-09-12,0,11.331999999999999,3,9,12
2017-09-13,0,18.2,3,9,13
2017-09-14,0,24.048,3,9,14
2017-09-15,0,25.606,3,9,15
2017-09-16,1,33.782000000000004,3,9,16
2017-09-17,1,37.963,3,9,17
2017-09-18,0,25.661,3,9,18
2017-09-19,0,28.808,3,9,19
2017-09-20,0,28.747,3,9,20
2017-09-21,0,21.256,3,9,21
2017-09-22,0,28.064,3,9,22
2017-09-23,1,34.789,3,9,23
2017-09-24,1,34.439,3,9,24
2017-09-25,0,25.876,3,9,25
2017-09-26,0,20.829,3,9,26
2017-09-27,0,23.112,3,9,27
2017-09-28,0,23.112000000000002,3,9,28
2017-09-29,0,27.259999999999998,3,9,29
2017-09-30,1,27.954,3,9,30
2017-10-01,1,8.897,4,10,1
2017-10-02,0,9.185,4,10,2
2017-10-03,0,14.911999999999999,4,10,3
2017-10-04,0,16.727,4,10,4
2017-10-05,0,18.148,4,10,5
2017-10-06,0,20.146,4,10,6
2017-10-07,1,25.739,4,10,7
2017-10-08,1,20.816,4,10,8
2017-10-09,0,18.172,4,10,9
2017-10-10,0,16.467,4,10,10
